id,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts27163,nan,nan,nan,0.6,nan
ts30997,tt0756269,7.3,53.0,6.84,7.0
ts87877,tt0239360,6.6,85.0,0.997,7.0
ts40280,tt0302166,7.7,112.0,5.5120000000000005,nan
ts2961,tt0239361,7.2,71.0,2.813,7.5
ts21482,tt1355642,9.1,156503.0,110.53399999999999,8.7
ts22069,tt0988824,8.7,115863.0,350.68800000000005,8.6
ts11313,tt0877057,9.0,302147.0,104.037,8.7
ts20305,tt0409591,8.4,93980.0,362.73,8.4
ts15151,tt0434665,8.2,51742.0,211.796,8.4
ts31799,tt0423731,8.6,46720.0,17.733,8.3
ts20513,tt1528406,8.0,23932.0,30.543000000000003,7.9
ts35155,tt0948103,8.3,17024.0,22.238000000000003,8.2
ts26050,tt0807832,8.5,13196.0,27.339000000000002,8.2
ts29406,tt0988818,8.7,10445.0,68.218,7.9
ts20548,tt1480925,8.0,5458.0,58.108999999999995,8.2
ts22017,tt1134000,8.1,2360.0,23.142,7.5
ts26322,tt1279024,8.0,14307.0,28.197,8.5
ts47142,tt0400690,6.9,1642.0,10.915,6.7
ts29252,tt0876211,5.4,34.0,0.69,nan
ts31455,tt0493334,6.8,4601.0,42.74100000000001,8.1
ts24199,tt0374407,7.7,2420.0,42.412,7.8
ts20308,tt0328739,7.6,5476.0,27.836,7.2
ts53585,tt1352421,8.1,2009.0,52.335,8.3
ts42441,tt1324968,7.5,984.0,15.833,6.9
ts30083,tt1639109,7.7,13848.0,19.033,8.0
ts12930,tt1674928,6.1,1683.0,35.385,7.8
ts20593,tt1424037,8.1,2108.0,52.173,8.5
ts32478,tt1202625,8.2,3000.0,24.314,8.5
ts20544,tt0816397,8.2,9763.0,15.959000000000001,8.4
ts40775,tt0368520,6.8,711.0,4.31,6.7
ts26449,tt1308089,6.9,1855.0,72.972,7.6
ts52881,tt1745240,7.8,3784.0,30.842,8.7
ts31181,tt0328738,7.9,5743.0,11.919,7.4
ts29076,tt1224144,7.7,1478.0,35.33,8.6
ts17906,tt1636694,6.7,2248.0,8.449,7.6
ts30079,tt1751305,6.5,1498.0,31.318,7.0
ts33291,tt0307427,6.9,1123.0,8.668,7.8
ts1401,tt0387775,7.6,799.0,5.33,6.9
ts33198,tt1068993,6.0,2403.0,21.16,5.5
ts23967,tt0327386,8.1,1964.0,6.322,8.7
ts27365,tt1161684,6.9,2979.0,27.2,8.2
ts36105,tt0434693,7.7,666.0,51.08,7.2
