id,genres
ts25765,romance
ts25765,animation
ts25765,action
ts25765,drama
ts25765,fantasy
ts25765,horror
ts32519,action
ts32519,fantasy
ts32519,animation
ts32519,comedy
ts32519,drama
ts32519,family
ts33980,animation
ts33980,comedy
ts33980,romance
ts177522,action
ts177522,comedy
ts177522,romance
ts177522,animation
ts1152,drama
ts1152,animation
ts1152,history
ts1152,romance
ts41553,scifi
ts41553,fantasy
ts41553,sport
ts41553,animation
ts41553,drama
ts22020,animation
ts22020,comedy
ts22020,family
ts22020,fantasy
ts22020,romance
ts33072,scifi
ts33072,war
ts33072,animation
ts33072,action
ts33072,drama
ts24483,action
ts24483,animation
ts24483,fantasy
ts9686,comedy
ts9686,animation
ts9686,fantasy
ts9686,romance
ts21852,animation
ts21852,action
ts21852,comedy
ts21852,scifi
ts29956,scifi
ts29956,animation
ts29956,comedy
ts29956,romance
ts16771,comedy
ts16771,drama
ts16771,animation
ts16771,sport
ts27189,comedy
ts27189,drama
ts27189,romance
ts27189,animation
ts26444,scifi
ts26444,animation
ts30502,animation
ts30502,drama
ts30502,fantasy
ts30502,comedy
ts24467,drama
ts24467,animation
ts24467,romance
ts80216,animation
ts80216,scifi
ts42557,animation
ts42557,drama
ts42557,romance
ts42557,comedy
ts53132,scifi
ts53132,action
ts53132,animation
ts53132,comedy
ts53132,drama
ts53132,fantasy
ts28698,action
ts28698,fantasy
ts28698,animation
ts28698,comedy
ts6355,scifi
ts36530,action
ts36530,animation
ts36530,scifi
ts26931,animation
ts26931,comedy
ts26931,drama
ts26931,romance
ts31511,action
ts31511,thriller
ts31511,drama
ts31511,animation
ts31511,reality
ts2718,scifi
ts2718,animation
ts2718,action
ts11645,comedy
ts11645,animation
ts11645,romance
ts39260,comedy
ts39260,animation
ts27114,scifi
ts27114,animation
ts27114,drama
ts27114,romance
ts39338,action
ts39338,scifi
ts39338,animation
ts39338,drama
ts35033,comedy
ts35033,animation
ts35033,fantasy
ts35033,romance
ts56437,comedy
ts56437,drama
ts56437,romance
ts56437,scifi
ts56437,animation
ts56437,action
ts23830,scifi
ts23830,animation
ts23830,drama
ts23830,fantasy
ts60873,action
ts60873,comedy
ts60873,fantasy
ts60873,horror
ts60873,animation
ts57877,scifi
ts5606,comedy
ts5606,drama
ts5606,scifi
ts5606,animation
ts5606,family
ts5606,fantasy
ts33495,animation
ts33495,action
ts33495,fantasy
ts33495,scifi
ts47460,scifi
ts47460,animation
ts47460,drama
ts26155,animation
ts26155,drama
ts26155,romance
ts78793,animation
ts30503,action
ts30503,scifi
ts30503,animation
ts25824,comedy
ts25824,romance
ts25824,animation
ts24421,drama
ts24421,animation
ts24421,action
ts24421,fantasy
ts41034,scifi
ts41111,drama
ts41111,animation
ts41111,romance
ts24469,comedy
ts24469,animation
ts24469,drama
ts72541,comedy
ts72541,animation
ts72541,action
ts83895,animation
ts83895,scifi
ts83895,romance
ts83895,action
ts83895,comedy
ts24532,comedy
ts24532,drama
ts24532,romance
ts24532,scifi
ts24532,animation
ts34617,scifi
ts34617,animation
ts34617,action
ts34617,drama
ts34617,horror
ts30496,action
ts30496,romance
ts30496,scifi
ts30496,animation
ts63557,animation
ts63557,fantasy
ts33241,scifi
ts33241,animation
ts33241,family
ts33241,european
ts11581,drama
ts11581,comedy
ts11581,romance
ts11581,scifi
ts11581,animation
ts25464,scifi
ts25464,comedy
ts25464,fantasy
ts25464,romance
ts25464,animation
ts25680,scifi
ts25680,romance
ts25680,animation
ts25680,action
ts25680,comedy
ts25680,fantasy
ts35062,comedy
ts35062,animation
ts35062,romance
ts35062,action
ts35062,drama
ts4142,action
ts4142,animation
ts4142,fantasy
ts47193,animation
ts47193,romance
ts47193,comedy
ts47193,fantasy
ts44050,comedy
ts44050,drama
ts44050,romance
ts44050,scifi
ts44050,animation
ts55248,comedy
ts55248,drama
ts55248,animation
ts12740,animation
ts12740,action
ts12740,drama
ts12740,fantasy
ts37736,action
ts57758,comedy
ts57758,animation
ts57758,drama
ts32189,action
ts32189,animation
ts32189,comedy
ts32189,romance
ts32189,scifi
ts32848,action
ts32848,animation
ts32848,fantasy
ts26720,animation
ts26720,action
ts26720,fantasy
ts26720,history
ts26720,drama
ts26720,comedy
ts26720,romance
ts26720,war
ts57008,scifi
ts57008,fantasy
ts57008,animation
ts57008,action
ts57008,drama
ts45590,animation
ts45590,fantasy
ts45590,romance
ts85831,drama
ts85831,romance
ts85831,animation
ts85831,comedy
ts40788,scifi
ts40788,animation
ts40788,action
ts40788,fantasy
ts40788,romance
ts23568,drama
ts23568,romance
ts23568,animation
ts30037,comedy
ts30037,animation
ts30037,drama
ts9567,scifi
ts9567,action
ts9567,fantasy
ts9567,romance
ts9567,animation
ts31545,animation
ts43417,animation
ts43417,action
ts43417,scifi
ts34154,drama
ts34154,romance
ts34154,animation
ts178815,fantasy
ts178815,animation
ts178815,comedy
ts73071,scifi
ts73071,animation
ts73071,fantasy
ts3358,action
ts3358,animation
ts3358,comedy
ts3358,sport
ts23150,scifi
ts23150,comedy
ts23150,drama
ts23150,animation
ts23150,action
ts38342,animation
ts38342,comedy
ts25979,animation
ts25979,comedy
ts45825,animation
ts45825,drama
ts45825,family
ts45825,fantasy
ts45825,comedy
ts30252,animation
ts23469,animation
ts23469,drama
ts23469,romance
ts29705,action
ts29888,scifi
ts29888,animation
ts29888,comedy
ts29888,drama
ts29888,music
ts9999,animation
ts9999,comedy
ts60066,animation
ts60066,comedy
ts60066,drama
ts60066,romance
ts60066,scifi
ts4514,drama
ts4514,comedy
ts4514,music
ts4514,animation
ts17411,scifi
ts15147,action
ts15147,animation
ts15147,scifi
ts15147,thriller
ts27188,animation
ts27188,comedy
ts27188,drama
ts27188,sport
ts27188,action
ts55976,comedy
ts55976,fantasy
ts55976,romance
ts55976,animation
ts55976,family
ts43162,comedy
ts43162,scifi
ts43162,action
ts43162,animation
ts189307,comedy
ts189307,drama
ts189307,romance
ts189307,animation
ts64924,animation
ts23504,comedy
ts27409,drama
ts27409,animation
ts27409,romance
ts27245,comedy
ts27245,animation
ts27245,drama
ts27245,fantasy
ts27245,romance
ts23918,animation
ts17078,drama
ts17078,comedy
ts17078,animation
ts28370,action
ts28370,scifi
ts28370,comedy
ts28370,animation
ts28370,fantasy
ts186502,scifi
ts186502,animation
ts38184,scifi
ts38184,animation
ts38184,action
ts38184,comedy
ts38184,fantasy
ts26242,drama
ts26242,animation
ts184925,animation
ts184925,fantasy
ts184925,action
ts34883,drama
ts34883,animation
ts34883,romance
ts80610,action
ts80610,fantasy
ts80610,romance
